template_id,service,level,template,count,first_seen,last_seen,sample_message,pod_count
T034,cart-service,WARN,Health check response time elevated endpoint=/health latency=211ms,8,2026-06-01T06:30:49.759000+00:00,2026-06-01T22:34:02.488000+00:00,Health check response time elevated endpoint=/health latency=211ms,3
T035,cart-service,WARN,Health check response time elevated endpoint=/health latency=201ms,8,2026-06-01T03:12:14.539000+00:00,2026-06-01T23:39:50.884000+00:00,Health check response time elevated endpoint=/health latency=201ms,3
T036,cart-service,WARN,Health check response time elevated endpoint=/health latency=221ms,8,2026-06-01T04:50:50.859000+00:00,2026-06-01T20:40:28.609000+00:00,Health check response time elevated endpoint=/health latency=221ms,4
T037,cart-service,WARN,Health check response time elevated endpoint=/health latency=206ms,8,2026-06-01T00:25:33.731000+00:00,2026-06-01T20:34:50.761000+00:00,Health check response time elevated endpoint=/health latency=206ms,4
T038,cart-service,WARN,Health check response time elevated endpoint=/health latency=121ms,8,2026-06-01T08:40:03.586000+00:00,2026-06-01T22:16:57.725000+00:00,Health check response time elevated endpoint=/health latency=121ms,3
T039,cart-service,WARN,Health check response time elevated endpoint=/health latency=215ms,7,2026-06-01T03:20:06.169000+00:00,2026-06-01T15:50:32.457000+00:00,Health check response time elevated endpoint=/health latency=215ms,4
T040,cart-service,WARN,Health check response time elevated endpoint=/health latency=203ms,7,2026-06-01T01:35:16.888000+00:00,2026-06-01T20:39:06.680000+00:00,Health check response time elevated endpoint=/health latency=203ms,4
T041,cart-service,WARN,Health check response time elevated endpoint=/health latency=214ms,7,2026-06-01T05:08:31.529000+00:00,2026-06-01T22:14:50.935000+00:00,Health check response time elevated endpoint=/health latency=214ms,3
T042,cart-service,WARN,Health check response time elevated endpoint=/health latency=216ms,7,2026-06-01T06:42:43.370000+00:00,2026-06-01T19:44:05.560000+00:00,Health check response time elevated endpoint=/health latency=216ms,3
T043,cart-service,WARN,Health check response time elevated endpoint=/health latency=190ms,7,2026-06-01T06:20:28.761000+00:00,2026-06-01T23:44:38.961000+00:00,Health check response time elevated endpoint=/health latency=190ms,3
T044,cart-service,WARN,Health check response time elevated endpoint=/health latency=192ms,7,2026-06-01T01:46:43.812000+00:00,2026-06-01T22:17:27.832000+00:00,Health check response time elevated endpoint=/health latency=192ms,3
T045,cart-service,WARN,Health check response time elevated endpoint=/health latency=148ms,7,2026-06-01T07:54:28.089000+00:00,2026-06-01T22:55:42.021000+00:00,Health check response time elevated endpoint=/health latency=148ms,3
T046,cart-service,WARN,Health check response time elevated endpoint=/health latency=147ms,7,2026-06-01T02:13:23.370000+00:00,2026-06-01T16:36:48.473000+00:00,Health check response time elevated endpoint=/health latency=147ms,3
T047,cart-service,WARN,Health check response time elevated endpoint=/health latency=156ms,7,2026-06-01T03:26:45.168000+00:00,2026-06-01T21:02:00.363000+00:00,Health check response time elevated endpoint=/health latency=156ms,4
T048,cart-service,WARN,Health check response time elevated endpoint=/health latency=151ms,7,2026-06-01T00:01:20.030000+00:00,2026-06-01T23:26:38.819000+00:00,Health check response time elevated endpoint=/health latency=151ms,3
T049,cart-service,WARN,Health check response time elevated endpoint=/health latency=178ms,7,2026-06-01T02:26:11.258000+00:00,2026-06-01T12:12:58.508000+00:00,Health check response time elevated endpoint=/health latency=178ms,3
T050,cart-service,WARN,Health check response time elevated endpoint=/health latency=180ms,7,2026-06-01T01:17:25.016000+00:00,2026-06-01T20:10:39.664000+00:00,Health check response time elevated endpoint=/health latency=180ms,2
T051,cart-service,WARN,Health check response time elevated endpoint=/health latency=187ms,7,2026-06-01T03:55:53.744000+00:00,2026-06-01T20:17:30.106000+00:00,Health check response time elevated endpoint=/health latency=187ms,4
T052,cart-service,WARN,Health check response time elevated endpoint=/health latency=250ms,7,2026-06-01T00:55:53.933000+00:00,2026-06-01T21:22:30.077000+00:00,Health check response time elevated endpoint=/health latency=250ms,4
T053,cart-service,WARN,Health check response time elevated endpoint=/health latency=185ms,7,2026-06-01T04:45:27.976000+00:00,2026-06-01T23:31:14.008000+00:00,Health check response time elevated endpoint=/health latency=185ms,3
T054,cart-service,WARN,Health check response time elevated endpoint=/health latency=240ms,7,2026-06-01T06:49:14.831000+00:00,2026-06-01T21:08:57.811000+00:00,Health check response time elevated endpoint=/health latency=240ms,3
T055,cart-service,WARN,Health check response time elevated endpoint=/health latency=202ms,7,2026-06-01T01:00:34.367000+00:00,2026-06-01T13:50:43.190000+00:00,Health check response time elevated endpoint=/health latency=202ms,4
T056,cart-service,WARN,Health check response time elevated endpoint=/health latency=241ms,7,2026-06-01T00:29:02.363000+00:00,2026-06-01T21:51:24.036000+00:00,Health check response time elevated endpoint=/health latency=241ms,4
T057,cart-service,WARN,Health check response time elevated endpoint=/health latency=237ms,7,2026-06-01T00:47:37.201000+00:00,2026-06-01T22:41:47.136000+00:00,Health check response time elevated endpoint=/health latency=237ms,4
T058,cart-service,WARN,Health check response time elevated endpoint=/health latency=131ms,7,2026-06-01T00:33:46.178000+00:00,2026-06-01T21:08:57.503000+00:00,Health check response time elevated endpoint=/health latency=131ms,4
T059,cart-service,WARN,Health check response time elevated endpoint=/health latency=133ms,7,2026-06-01T05:45:48.706000+00:00,2026-06-01T23:20:23.369000+00:00,Health check response time elevated endpoint=/health latency=133ms,3
T060,cart-service,WARN,Health check response time elevated endpoint=/health latency=134ms,6,2026-06-01T03:26:41.623000+00:00,2026-06-01T21:39:01.206000+00:00,Health check response time elevated endpoint=/health latency=134ms,4
T061,cart-service,WARN,Health check response time elevated endpoint=/health latency=168ms,6,2026-06-01T00:16:50.592000+00:00,2026-06-01T23:19:34.851000+00:00,Health check response time elevated endpoint=/health latency=168ms,3
T062,cart-service,WARN,Health check response time elevated endpoint=/health latency=167ms,6,2026-06-01T05:33:36.446000+00:00,2026-06-01T22:59:43.431000+00:00,Health check response time elevated endpoint=/health latency=167ms,3
T063,cart-service,WARN,Health check response time elevated endpoint=/health latency=164ms,6,2026-06-01T12:27:25.113000+00:00,2026-06-01T21:19:42.707000+00:00,Health check response time elevated endpoint=/health latency=164ms,3
T064,cart-service,WARN,Health check response time elevated endpoint=/health latency=179ms,6,2026-06-01T05:20:41.729000+00:00,2026-06-01T23:40:17.215000+00:00,Health check response time elevated endpoint=/health latency=179ms,4
T065,cart-service,WARN,Health check response time elevated endpoint=/health latency=238ms,6,2026-06-01T04:17:19.867000+00:00,2026-06-01T23:29:39.373000+00:00,Health check response time elevated endpoint=/health latency=238ms,3
T066,cart-service,WARN,Health check response time elevated endpoint=/health latency=235ms,6,2026-06-01T07:14:34.599000+00:00,2026-06-01T23:21:53.386000+00:00,Health check response time elevated endpoint=/health latency=235ms,3
T067,cart-service,WARN,Health check response time elevated endpoint=/health latency=143ms,6,2026-06-01T13:49:52.554000+00:00,2026-06-01T23:42:17.465000+00:00,Health check response time elevated endpoint=/health latency=143ms,2
T068,cart-service,WARN,Health check response time elevated endpoint=/health latency=141ms,6,2026-06-01T17:00:43.217000+00:00,2026-06-01T23:12:51.438000+00:00,Health check response time elevated endpoint=/health latency=141ms,3
T069,cart-service,WARN,Health check response time elevated endpoint=/health latency=146ms,6,2026-06-01T13:15:06.122000+00:00,2026-06-01T22:48:21.241000+00:00,Health check response time elevated endpoint=/health latency=146ms,3
T070,cart-service,WARN,Health check response time elevated endpoint=/health latency=162ms,6,2026-06-01T05:57:28.388000+00:00,2026-06-01T23:24:03.090000+00:00,Health check response time elevated endpoint=/health latency=162ms,3
T071,cart-service,WARN,Health check response time elevated endpoint=/health latency=220ms,6,2026-06-01T01:02:48.812000+00:00,2026-06-01T23:09:17.057000+00:00,Health check response time elevated endpoint=/health latency=220ms,4
T072,cart-service,WARN,Health check response time elevated endpoint=/health latency=239ms,6,2026-06-01T08:13:32.938000+00:00,2026-06-01T19:55:44.865000+00:00,Health check response time elevated endpoint=/health latency=239ms,3
T073,cart-service,WARN,Health check response time elevated endpoint=/health latency=213ms,6,2026-06-01T07:15:41.318000+00:00,2026-06-01T15:23:44.790000+00:00,Health check response time elevated endpoint=/health latency=213ms,3
T074,cart-service,WARN,Health check response time elevated endpoint=/health latency=138ms,5,2026-06-01T02:01:56.380000+00:00,2026-06-01T16:39:08.902000+00:00,Health check response time elevated endpoint=/health latency=138ms,3
T075,cart-service,WARN,Health check response time elevated endpoint=/health latency=137ms,5,2026-06-01T09:42:41.358000+00:00,2026-06-01T22:38:57.703000+00:00,Health check response time elevated endpoint=/health latency=137ms,3
T076,cart-service,WARN,Health check response time elevated endpoint=/health latency=247ms,5,2026-06-01T00:18:25.977000+00:00,2026-06-01T19:34:30.470000+00:00,Health check response time elevated endpoint=/health latency=247ms,3
T077,cart-service,WARN,Health check response time elevated endpoint=/health latency=199ms,5,2026-06-01T01:04:55.565000+00:00,2026-06-01T14:51:37.607000+00:00,Health check response time elevated endpoint=/health latency=199ms,4
T078,cart-service,WARN,Health check response time elevated endpoint=/health latency=197ms,5,2026-06-01T10:25:12.046000+00:00,2026-06-01T22:58:14.962000+00:00,Health check response time elevated endpoint=/health latency=197ms,4
T079,cart-service,WARN,Health check response time elevated endpoint=/health latency=218ms,5,2026-06-01T03:24:14.151000+00:00,2026-06-01T21:55:49.905000+00:00,Health check response time elevated endpoint=/health latency=218ms,3
T080,cart-service,WARN,Health check response time elevated endpoint=/health latency=208ms,5,2026-06-01T11:05:52.173000+00:00,2026-06-01T20:54:42.996000+00:00,Health check response time elevated endpoint=/health latency=208ms,3
T081,cart-service,WARN,Health check response time elevated endpoint=/health latency=249ms,5,2026-06-01T00:04:35.358000+00:00,2026-06-01T19:06:35.138000+00:00,Health check response time elevated endpoint=/health latency=249ms,3
T082,cart-service,WARN,Health check response time elevated endpoint=/health latency=207ms,5,2026-06-01T06:33:50.265000+00:00,2026-06-01T19:05:16.913000+00:00,Health check response time elevated endpoint=/health latency=207ms,4
T083,cart-service,WARN,Health check response time elevated endpoint=/health latency=125ms,5,2026-06-01T06:30:00.939000+00:00,2026-06-01T22:58:37.309000+00:00,Health check response time elevated endpoint=/health latency=125ms,3
T084,cart-service,WARN,Health check response time elevated endpoint=/health latency=169ms,5,2026-06-01T03:25:17.191000+00:00,2026-06-01T20:24:57.980000+00:00,Health check response time elevated endpoint=/health latency=169ms,1
T085,cart-service,WARN,Health check response time elevated endpoint=/health latency=153ms,5,2026-06-01T03:35:17.057000+00:00,2026-06-01T17:05:17.053000+00:00,Health check response time elevated endpoint=/health latency=153ms,2
T086,cart-service,WARN,Health check response time elevated endpoint=/health latency=140ms,5,2026-06-01T00:25:42.730000+00:00,2026-06-01T23:19:50.288000+00:00,Health check response time elevated endpoint=/health latency=140ms,3
T087,cart-service,WARN,Health check response time elevated endpoint=/health latency=157ms,5,2026-06-01T07:11:46.487000+00:00,2026-06-01T21:31:27.222000+00:00,Health check response time elevated endpoint=/health latency=157ms,3
T088,cart-service,WARN,Health check response time elevated endpoint=/health latency=163ms,5,2026-06-01T02:17:28.603000+00:00,2026-06-01T20:25:20.824000+00:00,Health check response time elevated endpoint=/health latency=163ms,3
T089,cart-service,WARN,Health check response time elevated endpoint=/health latency=166ms,5,2026-06-01T06:35:19.038000+00:00,2026-06-01T11:47:03.353000+00:00,Health check response time elevated endpoint=/health latency=166ms,3
T090,cart-service,WARN,Health check response time elevated endpoint=/health latency=175ms,5,2026-06-01T09:46:56.631000+00:00,2026-06-01T20:02:42.725000+00:00,Health check response time elevated endpoint=/health latency=175ms,3
T091,cart-service,WARN,Slow response detected endpoint=/api/cart latency=2864ms,5,2026-06-01T14:17:08.038000+00:00,2026-06-01T22:29:09.639000+00:00,Slow response detected endpoint=/api/cart latency=2864ms,3
T092,cart-service,WARN,Health check response time elevated endpoint=/health latency=195ms,5,2026-06-01T08:04:00.468000+00:00,2026-06-01T23:39:04.491000+00:00,Health check response time elevated endpoint=/health latency=195ms,4
T093,cart-service,WARN,Health check response time elevated endpoint=/health latency=165ms,5,2026-06-01T01:32:43.570000+00:00,2026-06-01T23:20:00.765000+00:00,Health check response time elevated endpoint=/health latency=165ms,3
T094,cart-service,WARN,Health check response time elevated endpoint=/health latency=193ms,5,2026-06-01T05:32:09.481000+00:00,2026-06-01T22:35:58.161000+00:00,Health check response time elevated endpoint=/health latency=193ms,3
T095,cart-service,WARN,Health check response time elevated endpoint=/health latency=189ms,5,2026-06-01T02:58:46.664000+00:00,2026-06-01T22:43:09.828000+00:00,Health check response time elevated endpoint=/health latency=189ms,3
T096,cart-service,WARN,Health check response time elevated endpoint=/health latency=142ms,4,2026-06-01T03:37:57.979000+00:00,2026-06-01T22:50:07.110000+00:00,Health check response time elevated endpoint=/health latency=142ms,3
T097,cart-service,WARN,Health check response time elevated endpoint=/health latency=182ms,4,2026-06-01T07:54:04.267000+00:00,2026-06-01T14:13:01.390000+00:00,Health check response time elevated endpoint=/health latency=182ms,2
T098,cart-service,WARN,Health check response time elevated endpoint=/health latency=183ms,4,2026-06-01T01:41:33.301000+00:00,2026-06-01T19:23:19.779000+00:00,Health check response time elevated endpoint=/health latency=183ms,3
T099,cart-service,WARN,Health check response time elevated endpoint=/health latency=184ms,4,2026-06-01T07:20:28.148000+00:00,2026-06-01T08:46:40.289000+00:00,Health check response time elevated endpoint=/health latency=184ms,2
T100,cart-service,WARN,Health check response time elevated endpoint=/health latency=191ms,4,2026-06-01T10:01:40.547000+00:00,2026-06-01T21:12:42.415000+00:00,Health check response time elevated endpoint=/health latency=191ms,3
T101,cart-service,WARN,Slow response detected endpoint=/api/cart latency=858ms,4,2026-06-01T15:39:42.121000+00:00,2026-06-01T22:24:00.704000+00:00,Slow response detected endpoint=/api/cart latency=858ms,2
T102,cart-service,WARN,Health check response time elevated endpoint=/health latency=177ms,4,2026-06-01T08:22:35.176000+00:00,2026-06-01T23:36:00.119000+00:00,Health check response time elevated endpoint=/health latency=177ms,2
T103,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1100ms,4,2026-06-01T16:05:43.812000+00:00,2026-06-01T21:56:13.690000+00:00,Slow response detected endpoint=/api/cart latency=1100ms,3
T104,cart-service,WARN,Slow response detected endpoint=/api/cart latency=731ms,4,2026-06-01T18:02:50.866000+00:00,2026-06-01T23:39:18.355000+00:00,Slow response detected endpoint=/api/cart latency=731ms,2
T105,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1514ms,4,2026-06-01T14:32:46.616000+00:00,2026-06-01T23:19:57.888000+00:00,Slow response detected endpoint=/api/cart latency=1514ms,3
T106,cart-service,WARN,Health check response time elevated endpoint=/health latency=158ms,4,2026-06-01T07:05:28.918000+00:00,2026-06-01T20:09:33.126000+00:00,Health check response time elevated endpoint=/health latency=158ms,2
T107,cart-service,WARN,Slow response detected endpoint=/api/cart latency=2458ms,4,2026-06-01T06:59:05.414000+00:00,2026-06-01T21:24:37.450000+00:00,Slow response detected endpoint=/api/cart latency=2458ms,3
T108,cart-service,WARN,Health check response time elevated endpoint=/health latency=161ms,4,2026-06-01T08:41:57.682000+00:00,2026-06-01T22:03:52.418000+00:00,Health check response time elevated endpoint=/health latency=161ms,2
T109,cart-service,WARN,Health check response time elevated endpoint=/health latency=155ms,4,2026-06-01T08:04:14.363000+00:00,2026-06-01T16:16:14.418000+00:00,Health check response time elevated endpoint=/health latency=155ms,2
T110,cart-service,WARN,Health check response time elevated endpoint=/health latency=152ms,4,2026-06-01T01:35:23.779000+00:00,2026-06-01T16:04:21.815000+00:00,Health check response time elevated endpoint=/health latency=152ms,2
T111,cart-service,WARN,Health check response time elevated endpoint=/health latency=149ms,4,2026-06-01T07:22:10.203000+00:00,2026-06-01T23:36:13.603000+00:00,Health check response time elevated endpoint=/health latency=149ms,3
T112,cart-service,WARN,Slow response detected endpoint=/api/cart latency=2497ms,4,2026-06-01T18:10:33.196000+00:00,2026-06-01T23:40:20.949000+00:00,Slow response detected endpoint=/api/cart latency=2497ms,3
T113,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1763ms,4,2026-06-01T09:46:25.074000+00:00,2026-06-01T23:30:58.583000+00:00,Slow response detected endpoint=/api/cart latency=1763ms,3
T114,cart-service,WARN,Health check response time elevated endpoint=/health latency=136ms,4,2026-06-01T09:07:27.360000+00:00,2026-06-01T22:57:18.825000+00:00,Health check response time elevated endpoint=/health latency=136ms,3
T115,cart-service,WARN,Health check response time elevated endpoint=/health latency=145ms,4,2026-06-01T08:34:01.044000+00:00,2026-06-01T13:02:02.110000+00:00,Health check response time elevated endpoint=/health latency=145ms,3
T116,cart-service,WARN,Health check response time elevated endpoint=/health latency=224ms,4,2026-06-01T02:53:16.074000+00:00,2026-06-01T20:17:04.327000+00:00,Health check response time elevated endpoint=/health latency=224ms,2
T117,cart-service,WARN,Health check response time elevated endpoint=/health latency=198ms,4,2026-06-01T14:30:38.042000+00:00,2026-06-01T21:47:39.602000+00:00,Health check response time elevated endpoint=/health latency=198ms,2
T118,cart-service,WARN,Health check response time elevated endpoint=/health latency=245ms,4,2026-06-01T07:41:17.253000+00:00,2026-06-01T22:58:52.740000+00:00,Health check response time elevated endpoint=/health latency=245ms,2
T119,cart-service,WARN,Health check response time elevated endpoint=/health latency=210ms,4,2026-06-01T01:18:45.731000+00:00,2026-06-01T13:27:54.191000+00:00,Health check response time elevated endpoint=/health latency=210ms,3
T120,cart-service,WARN,Health check response time elevated endpoint=/health latency=200ms,4,2026-06-01T03:07:50.157000+00:00,2026-06-01T22:22:41.494000+00:00,Health check response time elevated endpoint=/health latency=200ms,3
T121,cart-service,WARN,Health check response time elevated endpoint=/health latency=219ms,4,2026-06-01T07:57:02.802000+00:00,2026-06-01T19:57:45.921000+00:00,Health check response time elevated endpoint=/health latency=219ms,2
T122,cart-service,WARN,Health check response time elevated endpoint=/health latency=217ms,4,2026-06-01T08:35:55.759000+00:00,2026-06-01T20:46:28.544000+00:00,Health check response time elevated endpoint=/health latency=217ms,2
T123,cart-service,WARN,Health check response time elevated endpoint=/health latency=196ms,4,2026-06-01T09:18:26.507000+00:00,2026-06-01T18:18:57.365000+00:00,Health check response time elevated endpoint=/health latency=196ms,3
T124,cart-service,WARN,Health check response time elevated endpoint=/health latency=242ms,4,2026-06-01T09:04:31.383000+00:00,2026-06-01T19:01:01.503000+00:00,Health check response time elevated endpoint=/health latency=242ms,4
T125,cart-service,WARN,Health check response time elevated endpoint=/health latency=128ms,4,2026-06-01T00:43:58.862000+00:00,2026-06-01T19:20:37.524000+00:00,Health check response time elevated endpoint=/health latency=128ms,3
T126,cart-service,WARN,Health check response time elevated endpoint=/health latency=229ms,4,2026-06-01T07:11:44.312000+00:00,2026-06-01T23:34:21.132000+00:00,Health check response time elevated endpoint=/health latency=229ms,3
T127,cart-service,WARN,Health check response time elevated endpoint=/health latency=233ms,4,2026-06-01T02:18:51.131000+00:00,2026-06-01T22:30:14.355000+00:00,Health check response time elevated endpoint=/health latency=233ms,3
T128,cart-service,WARN,Health check response time elevated endpoint=/health latency=123ms,4,2026-06-01T07:23:39.120000+00:00,2026-06-01T12:22:23.151000+00:00,Health check response time elevated endpoint=/health latency=123ms,2
T129,cart-service,WARN,Slow response detected endpoint=/api/cart latency=699ms,3,2026-06-01T13:47:15.183000+00:00,2026-06-01T21:39:20.589000+00:00,Slow response detected endpoint=/api/cart latency=699ms,3
T130,cart-service,WARN,Slow response detected endpoint=/api/cart latency=2969ms,3,2026-06-01T20:43:51.070000+00:00,2026-06-01T22:47:27.899000+00:00,Slow response detected endpoint=/api/cart latency=2969ms,2
T131,cart-service,WARN,Slow response detected endpoint=/api/cart latency=686ms,3,2026-06-01T17:27:25.334000+00:00,2026-06-01T22:33:20.401000+00:00,Slow response detected endpoint=/api/cart latency=686ms,1
T132,cart-service,WARN,Slow response detected endpoint=/api/cart latency=956ms,3,2026-06-01T15:32:07.097000+00:00,2026-06-01T23:04:39.652000+00:00,Slow response detected endpoint=/api/cart latency=956ms,3
T133,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1006ms,3,2026-06-01T18:49:23.979000+00:00,2026-06-01T21:43:30.067000+00:00,Slow response detected endpoint=/api/cart latency=1006ms,2
T134,cart-service,WARN,Health check response time elevated endpoint=/health latency=248ms,3,2026-06-01T08:34:36.477000+00:00,2026-06-01T17:13:09.479000+00:00,Health check response time elevated endpoint=/health latency=248ms,2
T135,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1102ms,3,2026-06-01T14:07:05.570000+00:00,2026-06-01T21:31:42.508000+00:00,Slow response detected endpoint=/api/cart latency=1102ms,2
T136,cart-service,WARN,Slow response detected endpoint=/api/cart latency=2832ms,3,2026-06-01T16:41:21.667000+00:00,2026-06-01T21:10:42.046000+00:00,Slow response detected endpoint=/api/cart latency=2832ms,2
T137,cart-service,WARN,Slow response detected endpoint=/api/cart latency=507ms,3,2026-06-01T17:06:37.726000+00:00,2026-06-01T21:24:07.232000+00:00,Slow response detected endpoint=/api/cart latency=507ms,3
T138,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1206ms,3,2026-06-01T18:16:08.073000+00:00,2026-06-01T22:29:00.418000+00:00,Slow response detected endpoint=/api/cart latency=1206ms,3
T139,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1272ms,3,2026-06-01T15:13:32.781000+00:00,2026-06-01T22:58:33.711000+00:00,Slow response detected endpoint=/api/cart latency=1272ms,2
T140,cart-service,WARN,Slow response detected endpoint=/api/cart latency=1072ms,3,2026-06-01T15:11:01.411000+00:00,2026-06-01T20:15:25.235000+00:00,Slow response detected endpoint=/api/cart latency=1072ms,2
