service,metric,rows,start_utc,end_utc,timestamp_gap_count,duplicate_timestamp_count,duplicate_row_count,null_count,min,p50,p95,p99,max,baseline_p50_first_6h,baseline_p95_first_6h,trend_slope_per_row,baseline_window
cart-service,http_p99_latency_ms,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,30.0,74.0,745.91,1699.8799999999997,2789.8,50.1,91.21999999999998,0.2745501364069842,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
cart-service,http_5xx_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.38,9.53,14.428099999999999,16.78,0.065,2.0,0.001977165431997982,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
cart-service,jvm_gc_pause_ms_avg,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,1.0,52.1,131.0349999999998,162.381,187.4,45.4,77.60499999999999,0.012774803967692303,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
cart-service,container_restart_count,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.0,3.0,7.0,7.0,0.0,0.0,0.0009230357953832816,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
order-service,http_requests_per_sec,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,8.49,27.545,41.83199999999999,46.24489999999998,52.5,20.605,27.522,0.0046153418262091985,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
order-service,http_p99_latency_ms,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,20.0,43.8,197.60499999999996,253.40499999999997,322.0,39.6,72.1,0.03279774571330813,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
order-service,http_5xx_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.46,11.331499999999991,16.3605,18.26,0.42,0.76,0.002294130041363431,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
order-service,upstream_timeout_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.56,16.5105,24.0481,27.05,0.49,0.95,0.003249178341748782,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
payment-service,http_requests_per_sec,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,6.91,18.335,27.4105,29.574299999999997,33.01,13.65,17.464999999999996,0.0031263531494803544,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
payment-service,http_p99_latency_ms,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,40.0,63.8,138.30499999999998,178.58599999999996,222.7,59.25,93.405,0.016255563887073575,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
payment-service,http_5xx_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.23,5.47,7.9404999999999974,9.06,0.19,0.37049999999999955,0.001095362140057867,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
payment-service,upstream_timeout_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.3,9.311499999999992,14.3,15.82,0.25,0.48,0.0018853243249736017,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
product-service,http_requests_per_sec,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,13.32,36.675,54.73049999999999,59.4124,65.19,27.37,35.80199999999999,0.006089893994867919,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
product-service,http_p99_latency_ms,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,20.0,37.3,287.9999999999962,854.01,1148.4,44.4,827.9299999999998,-0.04756875993472799,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
product-service,cpu_usage_percent,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,2.0,20.310000000000002,38.10649999999997,67.49059999999999,87.62,20.924999999999997,65.35199999999999,-0.002222872306914974,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
product-service,http_5xx_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.11,3.1819999999999893,8.806199999999999,12.48,0.455,8.503499999999997,-0.0004930535975584493,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
