method,service,affected_metric_service,earliest_detection,false_positive_count_first_6h,supports_rca_chain,detail
ewma_trend,cart-service,cart-service/memory_usage_bytes,2026-06-01T16:28:00+00:00,0,True,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=421947970.354; sigma=61843588.385; threshold=607478735.510; persistence=3/5
ewma_trend,api-gateway,api-gateway/http_p99_latency_ms,2026-06-01T17:37:30+00:00,4,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=22.174; sigma=2.599; threshold=29.971; persistence=3/5
ewma_trend,cart-service,cart-service/container_restart_count,2026-06-01T20:00:00+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.000; sigma=0.000; threshold=0.000; persistence=3/5
ewma_trend,api-gateway,api-gateway/cart_upstream_error_rate,2026-06-01T20:09:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.386; sigma=0.068; threshold=0.590; persistence=3/5
ewma_trend,order-service,order-service/http_5xx_rate,2026-06-01T20:30:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.417; sigma=0.049; threshold=0.564; persistence=3/5
ewma_trend,order-service,order-service/http_p99_latency_ms,2026-06-01T20:32:30+00:00,2,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=41.451; sigma=4.079; threshold=53.686; persistence=3/5
ewma_trend,order-service,order-service/upstream_timeout_rate,2026-06-01T20:32:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.502; sigma=0.066; threshold=0.700; persistence=3/5
ewma_trend,payment-service,payment-service/http_p99_latency_ms,2026-06-01T20:46:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=61.250; sigma=3.747; threshold=72.491; persistence=3/5
isolation_forest,product-service,product-service/multivariate,,22,False,"n_estimators=200; contamination=0.03; trained_on=first_6h; features=http_requests_per_sec,http_p99_latency_ms,cpu_usage_percent,http_5xx_rate"
isolation_forest,payment-service,payment-service/http_p99_latency_ms,2026-06-01T06:16:00+00:00,22,False,"n_estimators=200; contamination=0.03; trained_on=first_6h; features=http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate"
isolation_forest,api-gateway,api-gateway/http_requests_per_sec,2026-06-01T06:59:00+00:00,22,False,"n_estimators=200; contamination=0.03; trained_on=first_6h; features=http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections"
isolation_forest,order-service,order-service/http_requests_per_sec,2026-06-01T07:09:00+00:00,22,False,"n_estimators=200; contamination=0.03; trained_on=first_6h; features=http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate"
isolation_forest,cart-service,cart-service/http_5xx_rate,2026-06-01T07:27:00+00:00,22,True,"n_estimators=200; contamination=0.03; trained_on=first_6h; features=memory_usage_bytes,memory_limit_bytes,cpu_usage_percent,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,jvm_gc_pause_ms_avg,container_restart_count"
robust_mad_3alpha,api-gateway,api-gateway/product_upstream_error_rate,,167,False,formula=median + 3 * 1.4826 * MAD; median=0.200; sigma=0.148; threshold=0.645; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/memory_limit_bytes,,0,False,formula=median + 3 * 1.4826 * MAD; median=2147483648.000; sigma=0.000; threshold=2147483648.000; persistence=3/5
robust_mad_3alpha,product-service,product-service/http_p99_latency_ms,,163,False,formula=median + 3 * 1.4826 * MAD; median=44.400; sigma=28.169; threshold=128.908; persistence=3/5
robust_mad_3alpha,product-service,product-service/cpu_usage_percent,,96,False,formula=median + 3 * 1.4826 * MAD; median=20.925; sigma=9.785; threshold=50.280; persistence=3/5
robust_mad_3alpha,product-service,product-service/http_5xx_rate,,155,False,formula=median + 3 * 1.4826 * MAD; median=0.455; sigma=0.675; threshold=2.479; persistence=3/5
robust_mad_3alpha,api-gateway,api-gateway/http_5xx_rate,2026-06-01T06:00:00+00:00,358,False,formula=median + 3 * 1.4826 * MAD; median=0.000; sigma=0.000; threshold=0.000; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/http_5xx_rate,2026-06-01T06:08:00+00:00,297,False,formula=median + 3 * 1.4826 * MAD; median=0.065; sigma=0.096; threshold=0.354; persistence=3/5
robust_mad_3alpha,api-gateway,api-gateway/active_connections,2026-06-01T06:47:00+00:00,1,False,formula=median + 3 * 1.4826 * MAD; median=336.000; sigma=19.274; threshold=393.821; persistence=3/5
robust_mad_3alpha,product-service,product-service/http_requests_per_sec,2026-06-01T06:50:30+00:00,1,False,formula=median + 3 * 1.4826 * MAD; median=27.370; sigma=4.744; threshold=41.603; persistence=3/5
robust_mad_3alpha,api-gateway,api-gateway/http_requests_per_sec,2026-06-01T07:02:30+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=54.620; sigma=8.540; threshold=80.239; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/http_requests_per_sec,2026-06-01T07:32:00+00:00,2,False,formula=median + 3 * 1.4826 * MAD; median=34.215; sigma=5.908; threshold=51.939; persistence=3/5
robust_mad_3alpha,payment-service,payment-service/http_requests_per_sec,2026-06-01T07:40:30+00:00,2,False,formula=median + 3 * 1.4826 * MAD; median=13.650; sigma=2.439; threshold=20.967; persistence=3/5
robust_mad_3alpha,order-service,order-service/http_requests_per_sec,2026-06-01T07:57:00+00:00,2,False,formula=median + 3 * 1.4826 * MAD; median=20.605; sigma=4.307; threshold=33.526; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/http_p99_latency_ms,2026-06-01T14:40:00+00:00,1,True,formula=median + 3 * 1.4826 * MAD; median=50.100; sigma=24.241; threshold=122.822; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/memory_usage_bytes,2026-06-01T16:26:00+00:00,0,True,formula=median + 3 * 1.4826 * MAD; median=418523156.500; sigma=63488833.462; threshold=608989656.886; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/jvm_gc_pause_ms_avg,2026-06-01T17:50:30+00:00,0,True,formula=median + 3 * 1.4826 * MAD; median=45.400; sigma=19.644; threshold=104.333; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/cpu_usage_percent,2026-06-01T18:13:30+00:00,5,False,formula=median + 3 * 1.4826 * MAD; median=20.345; sigma=7.806; threshold=43.763; persistence=3/5
robust_mad_3alpha,cart-service,cart-service/container_restart_count,2026-06-01T20:00:00+00:00,0,True,formula=median + 3 * 1.4826 * MAD; median=0.000; sigma=0.000; threshold=0.000; persistence=3/5
robust_mad_3alpha,api-gateway,api-gateway/cart_upstream_error_rate,2026-06-01T20:08:00+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=0.380; sigma=0.297; threshold=1.270; persistence=3/5
robust_mad_3alpha,order-service,order-service/http_5xx_rate,2026-06-01T20:30:30+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=0.420; sigma=0.282; threshold=1.265; persistence=3/5
robust_mad_3alpha,order-service,order-service/upstream_timeout_rate,2026-06-01T20:32:00+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=0.490; sigma=0.371; threshold=1.602; persistence=3/5
robust_mad_3alpha,order-service,order-service/http_p99_latency_ms,2026-06-01T20:32:30+00:00,3,False,formula=median + 3 * 1.4826 * MAD; median=39.600; sigma=19.570; threshold=98.311; persistence=3/5
robust_mad_3alpha,payment-service,payment-service/http_5xx_rate,2026-06-01T20:45:00+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=0.190; sigma=0.148; threshold=0.635; persistence=3/5
robust_mad_3alpha,payment-service,payment-service/upstream_timeout_rate,2026-06-01T20:45:00+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=0.250; sigma=0.193; threshold=0.828; persistence=3/5
robust_mad_3alpha,api-gateway,api-gateway/http_p99_latency_ms,2026-06-01T21:06:30+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=20.200; sigma=14.974; threshold=65.123; persistence=3/5
robust_mad_3alpha,payment-service,payment-service/http_p99_latency_ms,2026-06-01T21:45:00+00:00,0,False,formula=median + 3 * 1.4826 * MAD; median=59.250; sigma=21.275; threshold=123.076; persistence=3/5
