timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections
2026-06-01T00:29:30Z,67.23,20.8,0.38,0.67,0.18,356
2026-06-01T00:30:00Z,68.01,10.0,1.5,0.48,0.01,361
2026-06-01T00:30:30Z,70.62,10.0,0.0,0.0,0.26,356
2026-06-01T00:31:00Z,56.81,43.3,0.28,0.51,0.24,349
2026-06-01T00:31:30Z,64.04,19.6,0.0,0.32,0.27,341
2026-06-01T00:32:00Z,60.23,11.6,0.0,0.44,0.02,342
2026-06-01T00:32:30Z,59.5,10.0,0.0,0.02,0.12,349
2026-06-01T00:33:00Z,66.58,18.9,0.45,0.09,0.11,366
2026-06-01T00:33:30Z,53.61,43.7,0.0,0.16,0.2,378
2026-06-01T00:34:00Z,63.65,22.2,0.0,0.56,0.17,344
2026-06-01T00:34:30Z,55.84,10.0,1.5,0.47,0.1,357
2026-06-01T00:35:00Z,60.56,12.9,0.0,0.0,0.27,353
2026-06-01T00:35:30Z,43.42,33.4,0.0,0.19,0.12,354
2026-06-01T00:36:00Z,59.34,10.0,0.28,0.12,0.05,350
2026-06-01T00:36:30Z,43.47,28.4,0.43,0.37,0.17,363
2026-06-01T00:37:00Z,65.38,10.0,0.0,0.09,0.2,330
2026-06-01T00:37:30Z,55.51,37.1,0.0,0.71,0.14,346
2026-06-01T00:38:00Z,67.04,39.9,0.0,0.05,0.08,345
2026-06-01T00:38:30Z,62.15,14.2,1.5,0.75,0.01,340
2026-06-01T00:39:00Z,49.31,14.8,0.0,0.02,0.1,342
2026-06-01T00:39:30Z,59.48,17.2,0.03,0.32,0.03,337
2026-06-01T00:40:00Z,66.15,19.7,0.0,0.21,0.12,355
2026-06-01T00:40:30Z,59.75,26.4,0.0,0.62,0.14,327
2026-06-01T00:41:00Z,55.18,32.6,0.0,0.31,0.3,333
2026-06-01T00:41:30Z,53.24,22.1,0.0,0.45,0.14,365
2026-06-01T00:42:00Z,60.8,44.5,0.72,0.04,0.05,357
2026-06-01T00:42:30Z,55.64,10.0,0.58,0.79,0.26,330
2026-06-01T00:43:00Z,61.46,13.1,0.04,0.18,0.27,361
2026-06-01T00:43:30Z,56.73,24.8,0.0,0.14,0.06,322
2026-06-01T00:44:00Z,57.81,21.9,0.56,0.29,0.01,340
2026-06-01T00:44:30Z,54.38,27.1,1.18,0.68,0.25,378
2026-06-01T00:45:00Z,62.01,20.8,0.02,0.1,0.21,372
2026-06-01T00:45:30Z,53.1,30.6,0.35,0.74,0.26,330
2026-06-01T00:46:00Z,67.01,20.2,0.0,0.03,0.23,332
2026-06-01T00:46:30Z,64.04,10.0,0.0,0.03,0.07,348
2026-06-01T00:47:00Z,59.27,23.2,0.0,0.18,0.11,357
2026-06-01T00:47:30Z,42.71,10.0,0.0,0.06,0.02,335
2026-06-01T00:48:00Z,65.23,32.1,0.56,0.29,0.12,345
2026-06-01T00:48:30Z,50.55,33.8,0.0,0.4,0.13,358
2026-06-01T00:49:00Z,56.58,16.5,0.0,0.35,0.2,322
2026-06-01T00:49:30Z,71.28,10.0,0.52,0.09,0.27,311
2026-06-01T00:50:00Z,61.08,44.1,0.76,0.34,0.04,367
2026-06-01T00:50:30Z,62.26,15.9,1.5,0.6,0.0,337
2026-06-01T00:51:00Z,58.56,25.1,0.0,0.22,0.17,343
2026-06-01T00:51:30Z,64.77,10.0,0.0,0.54,0.17,336
2026-06-01T00:52:00Z,70.42,10.0,0.0,0.52,0.15,345
2026-06-01T00:52:30Z,53.32,10.0,1.5,0.46,0.26,328
2026-06-01T00:53:00Z,52.85,32.0,0.0,0.57,0.17,344
2026-06-01T00:53:30Z,55.91,50.3,0.16,0.69,0.03,352
2026-06-01T00:54:00Z,62.11,10.0,0.43,0.49,0.0,338
2026-06-01T00:54:30Z,51.71,10.0,0.24,0.69,0.26,335
2026-06-01T00:55:00Z,55.1,10.0,0.0,0.71,0.05,355
2026-06-01T00:55:30Z,66.53,10.0,0.0,0.26,0.16,347
2026-06-01T00:56:00Z,51.21,10.0,0.0,0.56,0.11,350
2026-06-01T00:56:30Z,57.87,28.0,0.0,0.1,0.2,330
2026-06-01T00:57:00Z,66.95,16.5,0.25,0.72,0.2,331
2026-06-01T00:57:30Z,43.36,10.0,0.0,0.7,0.0,358
2026-06-01T00:58:00Z,61.98,47.3,0.09,0.36,0.09,337
2026-06-01T00:58:30Z,52.91,46.5,0.0,0.21,0.19,357
2026-06-01T00:59:00Z,61.73,10.2,0.73,0.59,0.1,341
2026-06-01T00:59:30Z,58.5,36.6,0.4,0.32,0.1,360
2026-06-01T01:00:00Z,66.29,16.9,0.48,0.68,0.04,340
2026-06-01T01:00:30Z,53.42,18.4,1.02,0.56,0.05,332
2026-06-01T01:01:00Z,65.47,15.5,1.5,0.18,0.17,340
2026-06-01T01:01:30Z,63.31,34.8,0.0,0.45,0.19,350
2026-06-01T01:02:00Z,39.33,23.8,0.1,0.09,0.15,325
2026-06-01T01:02:30Z,57.91,10.0,0.0,0.01,0.18,329
2026-06-01T01:03:00Z,58.65,10.0,0.0,0.61,0.06,332
2026-06-01T01:03:30Z,74.42,10.0,0.0,0.07,0.29,353
2026-06-01T01:04:00Z,58.9,10.0,1.5,0.43,0.29,326
2026-06-01T01:04:30Z,48.79,22.6,0.68,0.48,0.06,329
2026-06-01T01:05:00Z,57.06,14.0,1.5,0.02,0.17,345
2026-06-01T01:05:30Z,56.0,21.8,0.0,0.24,0.08,335
2026-06-01T01:06:00Z,52.15,19.7,1.5,0.22,0.14,357
2026-06-01T01:06:30Z,55.17,57.9,0.0,0.51,0.03,354
2026-06-01T01:07:00Z,40.92,10.0,0.25,0.68,0.03,330
2026-06-01T01:07:30Z,47.81,18.6,0.3,0.65,0.21,341
2026-06-01T01:08:00Z,64.39,26.3,0.42,0.46,0.25,343
2026-06-01T01:08:30Z,60.98,13.0,0.0,0.64,0.04,321
2026-06-01T01:09:00Z,57.25,23.6,0.0,0.58,0.07,323
2026-06-01T01:09:30Z,55.31,19.8,0.8,0.33,0.23,336
2026-06-01T01:10:00Z,71.08,20.0,1.0,0.17,0.29,344
2026-06-01T01:10:30Z,49.44,25.1,0.0,0.28,0.18,350
2026-06-01T01:11:00Z,64.93,10.0,0.8,0.66,0.13,335
2026-06-01T01:11:30Z,50.65,15.9,0.61,0.64,0.28,357
2026-06-01T01:12:00Z,56.27,33.0,1.26,0.0,0.04,345
2026-06-01T01:12:30Z,48.33,10.0,0.0,0.46,0.25,355
2026-06-01T01:13:00Z,48.06,19.7,0.0,0.16,0.03,314
2026-06-01T01:13:30Z,71.83,16.6,0.05,0.75,0.23,361
2026-06-01T01:14:00Z,53.02,19.6,0.0,0.66,0.22,345
2026-06-01T01:14:30Z,60.34,32.8,0.0,0.6,0.09,341
2026-06-01T01:15:00Z,62.15,10.0,0.0,0.06,0.21,362
2026-06-01T01:15:30Z,51.72,45.4,1.5,0.71,0.07,345
2026-06-01T01:16:00Z,56.55,10.0,0.0,0.66,0.19,337
2026-06-01T01:16:30Z,61.16,40.5,1.5,0.49,0.13,332
2026-06-01T01:17:00Z,51.65,49.2,0.63,0.17,0.0,352
2026-06-01T01:17:30Z,61.54,29.7,0.04,0.21,0.15,319
2026-06-01T01:18:00Z,54.86,39.9,0.0,0.41,0.1,342
2026-06-01T01:18:30Z,53.1,22.8,1.48,0.47,0.04,360
2026-06-01T01:19:00Z,57.69,10.0,0.0,0.77,0.15,318
2026-06-01T01:19:30Z,57.92,20.4,0.65,0.21,0.04,341
2026-06-01T01:20:00Z,49.94,10.0,0.93,0.25,0.17,323
2026-06-01T01:20:30Z,50.91,19.8,0.34,0.49,0.19,292
2026-06-01T01:21:00Z,55.29,29.7,0.0,0.37,0.08,344
2026-06-01T01:21:30Z,57.38,17.6,0.54,0.26,0.06,332
2026-06-01T01:22:00Z,55.6,24.0,0.0,0.33,0.22,323
2026-06-01T01:22:30Z,48.09,10.0,0.16,0.5,0.23,348
2026-06-01T01:23:00Z,52.77,18.9,0.0,0.64,0.04,340
2026-06-01T01:23:30Z,44.37,10.0,0.0,0.04,0.17,334
2026-06-01T01:24:00Z,55.45,21.5,0.0,0.21,0.23,351
2026-06-01T01:24:30Z,70.4,28.4,1.5,0.3,0.02,334
2026-06-01T01:25:00Z,48.2,56.8,0.32,0.18,0.07,305
2026-06-01T01:25:30Z,48.74,30.9,0.0,0.33,0.28,362
2026-06-01T01:26:00Z,44.41,18.6,0.52,0.16,0.15,338
2026-06-01T01:26:30Z,49.57,36.1,0.36,0.21,0.03,333
2026-06-01T01:27:00Z,68.11,15.1,0.0,0.74,0.04,326
2026-06-01T01:27:30Z,50.99,46.3,0.13,0.44,0.02,342
2026-06-01T01:28:00Z,50.67,18.6,0.0,0.43,0.26,329
2026-06-01T01:28:30Z,63.72,10.0,0.25,0.73,0.21,332
2026-06-01T01:29:00Z,62.87,10.0,0.96,0.32,0.29,334
2026-06-01T01:29:30Z,42.67,19.8,1.02,0.1,0.03,354
2026-06-01T01:30:00Z,50.66,18.5,0.38,0.65,0.22,327
2026-06-01T01:30:30Z,53.69,10.0,1.13,0.45,0.2,346
2026-06-01T01:31:00Z,51.62,14.3,0.0,0.41,0.1,344
2026-06-01T01:31:30Z,54.04,31.6,0.0,0.23,0.03,335
2026-06-01T01:32:00Z,59.81,10.0,0.68,0.43,0.13,334
2026-06-01T01:32:30Z,50.69,15.2,0.0,0.76,0.06,347
2026-06-01T01:33:00Z,52.14,29.1,0.0,0.14,0.28,379
2026-06-01T01:33:30Z,35.18,31.5,0.13,0.03,0.12,341
2026-06-01T01:34:00Z,48.26,24.0,0.0,0.42,0.23,315
2026-06-01T01:34:30Z,56.09,10.0,1.2,0.06,0.12,350
2026-06-01T01:35:00Z,49.47,10.0,0.0,0.24,0.29,345
2026-06-01T01:35:30Z,62.42,13.0,1.12,0.26,0.26,343
2026-06-01T01:36:00Z,61.53,10.0,0.0,0.64,0.09,357
2026-06-01T01:36:30Z,56.51,20.5,0.59,0.29,0.0,357
2026-06-01T01:37:00Z,49.25,39.0,0.0,0.39,0.3,334
2026-06-01T01:37:30Z,62.23,54.0,0.0,0.08,0.17,322
2026-06-01T01:38:00Z,59.36,25.2,0.0,0.27,0.16,334
2026-06-01T01:38:30Z,49.67,38.9,0.53,0.14,0.22,338
2026-06-01T01:39:00Z,63.47,22.0,0.0,0.03,0.26,330
2026-06-01T01:39:30Z,61.73,10.0,0.0,0.18,0.27,346
2026-06-01T01:40:00Z,51.42,12.2,1.5,0.5,0.02,342
2026-06-01T01:40:30Z,63.4,11.2,0.22,0.23,0.16,329
2026-06-01T01:41:00Z,55.2,17.0,0.0,0.47,0.05,340
2026-06-01T01:41:30Z,49.02,49.4,0.0,0.39,0.26,356
2026-06-01T01:42:00Z,58.2,45.1,0.0,0.47,0.27,355
2026-06-01T01:42:30Z,44.68,16.2,0.49,0.51,0.27,332
2026-06-01T01:43:00Z,54.03,24.2,1.07,0.79,0.28,351
2026-06-01T01:43:30Z,46.07,39.3,0.0,0.33,0.16,328
2026-06-01T01:44:00Z,44.09,10.0,0.0,0.69,0.26,337
2026-06-01T01:44:30Z,56.96,26.7,0.79,0.15,0.1,317
2026-06-01T01:45:00Z,58.95,24.4,0.3,0.64,0.07,334
2026-06-01T01:45:30Z,49.03,14.8,0.0,0.74,0.21,321
2026-06-01T01:46:00Z,40.89,16.9,0.0,0.67,0.25,333
2026-06-01T01:46:30Z,46.35,29.1,0.0,0.07,0.27,337
2026-06-01T01:47:00Z,51.98,31.8,1.5,0.44,0.29,335
2026-06-01T01:47:30Z,49.23,24.0,1.33,0.2,0.22,350
2026-06-01T01:48:00Z,62.91,12.6,0.0,0.75,0.15,329
2026-06-01T01:48:30Z,50.9,10.4,0.54,0.71,0.21,329
2026-06-01T01:49:00Z,56.76,25.6,0.51,0.3,0.29,326
2026-06-01T01:49:30Z,62.29,15.4,0.26,0.08,0.3,312
2026-06-01T01:50:00Z,52.45,14.6,0.0,0.72,0.21,331
2026-06-01T01:50:30Z,59.36,15.9,1.5,0.54,0.05,355
2026-06-01T01:51:00Z,53.08,24.1,0.0,0.45,0.04,302
2026-06-01T01:51:30Z,43.82,10.0,0.0,0.29,0.15,318
2026-06-01T01:52:00Z,49.68,20.7,0.9,0.63,0.06,328
2026-06-01T01:52:30Z,61.84,13.6,0.34,0.31,0.16,340
2026-06-01T01:53:00Z,54.2,15.7,1.08,0.57,0.14,330
2026-06-01T01:53:30Z,54.87,43.2,1.5,0.6,0.07,347
2026-06-01T01:54:00Z,56.86,10.0,0.81,0.68,0.02,320
2026-06-01T01:54:30Z,57.99,10.0,0.0,0.35,0.21,349
2026-06-01T01:55:00Z,42.71,29.8,0.0,0.15,0.02,325
2026-06-01T01:55:30Z,56.59,21.2,0.48,0.63,0.1,361
2026-06-01T01:56:00Z,47.63,35.8,0.97,0.19,0.09,324
2026-06-01T01:56:30Z,51.97,32.1,0.56,0.07,0.2,315
2026-06-01T01:57:00Z,57.3,10.0,0.0,0.22,0.29,342
2026-06-01T01:57:30Z,51.71,10.0,0.0,0.61,0.14,334
2026-06-01T01:58:00Z,51.99,14.2,0.0,0.7,0.27,323
2026-06-01T01:58:30Z,49.91,10.0,0.57,0.35,0.0,306
2026-06-01T01:59:00Z,60.89,10.0,0.0,0.53,0.28,310
2026-06-01T01:59:30Z,56.91,23.7,0.0,0.01,0.29,307
2026-06-01T02:00:00Z,39.73,36.9,0.0,0.47,0.02,327
2026-06-01T02:00:30Z,53.81,14.1,0.0,0.03,0.08,332
2026-06-01T02:01:00Z,41.44,10.0,0.21,0.42,0.02,343
2026-06-01T02:01:30Z,53.62,27.9,0.0,0.27,0.15,298
2026-06-01T02:02:00Z,50.76,15.2,0.42,0.1,0.08,337
2026-06-01T02:02:30Z,43.67,14.0,0.0,0.31,0.03,351
2026-06-01T02:03:00Z,51.36,32.8,0.73,0.19,0.06,313
2026-06-01T02:03:30Z,50.81,34.9,0.0,0.46,0.29,319
2026-06-01T02:04:00Z,48.56,10.0,1.3,0.16,0.12,335
2026-06-01T02:04:30Z,50.47,30.4,0.02,0.75,0.23,320
2026-06-01T02:05:00Z,44.7,38.6,0.0,0.17,0.24,331
2026-06-01T02:05:30Z,56.12,22.7,0.26,0.48,0.19,341
2026-06-01T02:06:00Z,41.41,20.9,0.0,0.32,0.07,314
2026-06-01T02:06:30Z,51.6,27.6,0.0,0.58,0.18,321
2026-06-01T02:07:00Z,34.47,18.8,0.0,0.66,0.05,328
2026-06-01T02:07:30Z,61.34,20.0,0.0,0.26,0.2,311
2026-06-01T02:08:00Z,48.74,13.7,0.0,0.75,0.22,344
2026-06-01T02:08:30Z,50.28,10.0,0.0,0.22,0.17,329
2026-06-01T02:09:00Z,44.08,10.0,0.86,0.28,0.04,302
2026-06-01T02:09:30Z,58.35,40.4,0.0,0.36,0.13,337
2026-06-01T02:10:00Z,49.74,32.7,1.01,0.01,0.09,332
2026-06-01T02:10:30Z,44.31,26.9,0.44,0.01,0.01,324
2026-06-01T02:11:00Z,40.88,55.8,0.0,0.66,0.29,311
2026-06-01T02:11:30Z,58.88,10.0,0.91,0.32,0.27,323
2026-06-01T02:12:00Z,47.33,17.1,0.39,0.01,0.04,313
2026-06-01T02:12:30Z,47.58,49.4,0.0,0.73,0.1,335
2026-06-01T02:13:00Z,27.71,28.4,0.93,0.59,0.25,323
2026-06-01T02:13:30Z,52.4,42.6,1.0,0.33,0.29,315
2026-06-01T02:14:00Z,52.91,14.7,0.0,0.19,0.09,319
2026-06-01T02:14:30Z,41.91,41.4,0.18,0.21,0.23,320
2026-06-01T02:15:00Z,53.54,20.2,0.0,0.67,0.0,343
2026-06-01T02:15:30Z,48.39,32.6,0.0,0.36,0.23,312
2026-06-01T02:16:00Z,41.62,10.0,0.0,0.3,0.11,308
2026-06-01T02:16:30Z,50.48,10.0,0.32,0.33,0.25,335
2026-06-01T02:17:00Z,36.12,10.0,0.0,0.57,0.26,337
2026-06-01T02:17:30Z,50.76,14.7,0.69,0.0,0.06,326
2026-06-01T02:18:00Z,51.11,12.0,0.56,0.31,0.21,311
2026-06-01T02:18:30Z,56.05,10.0,0.0,0.68,0.27,340
2026-06-01T02:19:00Z,44.18,25.1,0.46,0.59,0.25,317
2026-06-01T02:19:30Z,49.25,27.8,0.09,0.27,0.12,302
2026-06-01T02:20:00Z,46.12,10.0,0.48,0.8,0.14,320
2026-06-01T02:20:30Z,64.13,32.3,0.0,0.19,0.17,342
2026-06-01T02:21:00Z,55.61,12.9,0.39,0.32,0.21,316
2026-06-01T02:21:30Z,46.17,41.6,0.0,0.19,0.08,306
2026-06-01T02:22:00Z,53.71,33.4,0.0,0.4,0.12,323
2026-06-01T02:22:30Z,52.9,21.2,0.0,0.75,0.16,339
2026-06-01T02:23:00Z,50.48,10.0,0.11,0.48,0.15,314
2026-06-01T02:23:30Z,47.31,33.8,0.06,0.05,0.26,346
2026-06-01T02:24:00Z,43.72,46.8,1.05,0.64,0.24,307
2026-06-01T02:24:30Z,41.55,55.9,0.0,0.69,0.25,299
2026-06-01T02:25:00Z,46.46,32.3,0.0,0.71,0.2,331
2026-06-01T02:25:30Z,41.77,41.6,0.0,0.58,0.16,301
2026-06-01T02:26:00Z,50.45,36.9,0.0,0.32,0.09,321
2026-06-01T02:26:30Z,51.29,21.0,0.36,0.15,0.14,316
2026-06-01T02:27:00Z,43.3,40.2,0.96,0.42,0.01,301
2026-06-01T02:27:30Z,47.64,10.0,1.5,0.08,0.12,297
2026-06-01T02:28:00Z,47.96,10.6,0.0,0.09,0.09,314
2026-06-01T02:28:30Z,44.82,52.6,0.9,0.46,0.05,316
2026-06-01T02:29:00Z,49.19,21.9,0.09,0.78,0.24,338
2026-06-01T02:29:30Z,52.41,11.0,0.0,0.26,0.24,349
2026-06-01T02:30:00Z,40.6,20.5,0.0,0.27,0.19,317
2026-06-01T02:30:30Z,54.22,10.0,0.0,0.42,0.08,317
2026-06-01T02:31:00Z,58.27,10.0,0.67,0.27,0.08,335
2026-06-01T02:31:30Z,54.44,57.5,1.0,0.58,0.14,316
2026-06-01T02:32:00Z,49.61,24.7,0.56,0.28,0.04,335
2026-06-01T02:32:30Z,54.5,11.7,0.5,0.17,0.23,328
2026-06-01T02:33:00Z,50.64,42.4,0.24,0.09,0.29,313
2026-06-01T02:33:30Z,50.0,35.0,0.0,0.09,0.17,351
2026-06-01T02:34:00Z,49.57,19.9,0.18,0.03,0.26,328
2026-06-01T02:34:30Z,48.16,32.0,0.0,0.66,0.07,320
2026-06-01T02:35:00Z,51.4,57.5,0.0,0.28,0.12,320
2026-06-01T02:35:30Z,57.5,10.0,0.4,0.73,0.08,333
2026-06-01T02:36:00Z,46.25,10.0,0.0,0.34,0.1,313
2026-06-01T02:36:30Z,49.98,15.2,0.0,0.51,0.19,330
2026-06-01T02:37:00Z,40.75,10.0,0.61,0.52,0.04,305
2026-06-01T02:37:30Z,59.69,20.1,0.0,0.45,0.22,304
2026-06-01T02:38:00Z,52.47,22.3,0.0,0.3,0.24,323
2026-06-01T02:38:30Z,46.63,10.0,0.0,0.29,0.15,312
2026-06-01T02:39:00Z,52.83,45.0,0.77,0.79,0.03,314
2026-06-01T02:39:30Z,51.08,10.0,0.02,0.03,0.24,279
2026-06-01T02:40:00Z,39.46,28.9,1.13,0.3,0.1,303
2026-06-01T02:40:30Z,56.34,38.6,0.0,0.2,0.07,311
2026-06-01T02:41:00Z,53.36,10.0,1.5,0.68,0.13,308
2026-06-01T02:41:30Z,52.2,47.0,0.38,0.01,0.03,333
2026-06-01T02:42:00Z,50.27,10.0,1.15,0.74,0.14,342
2026-06-01T02:42:30Z,41.16,38.6,0.0,0.31,0.3,303
2026-06-01T02:43:00Z,47.56,24.6,0.0,0.33,0.09,324
2026-06-01T02:43:30Z,43.8,10.0,0.37,0.35,0.2,323
2026-06-01T02:44:00Z,39.69,20.5,0.27,0.43,0.27,329
2026-06-01T02:44:30Z,57.47,16.6,0.0,0.73,0.19,317
2026-06-01T02:45:00Z,47.93,13.7,0.86,0.73,0.23,321
2026-06-01T02:45:30Z,52.9,10.0,1.12,0.51,0.22,307
2026-06-01T02:46:00Z,51.73,10.0,0.0,0.21,0.05,301
2026-06-01T02:46:30Z,42.64,32.0,0.0,0.05,0.13,314
2026-06-01T02:47:00Z,40.38,18.8,0.0,0.59,0.11,339
2026-06-01T02:47:30Z,46.85,38.3,0.0,0.31,0.15,341
2026-06-01T02:48:00Z,39.06,14.0,1.4,0.74,0.2,326
2026-06-01T02:48:30Z,64.67,12.4,0.0,0.61,0.12,315
2026-06-01T02:49:00Z,51.34,19.6,0.2,0.47,0.13,311
2026-06-01T02:49:30Z,45.08,26.6,1.08,0.31,0.17,310
2026-06-01T02:50:00Z,37.68,38.9,0.0,0.6,0.25,338
2026-06-01T02:50:30Z,45.12,43.8,0.63,0.19,0.15,300
2026-06-01T02:51:00Z,57.79,19.7,0.0,0.77,0.12,323
2026-06-01T02:51:30Z,45.27,46.7,0.0,0.22,0.21,361
2026-06-01T02:52:00Z,31.22,41.8,1.03,0.44,0.25,297
2026-06-01T02:52:30Z,33.8,39.9,1.34,0.71,0.08,305
2026-06-01T02:53:00Z,45.06,13.0,0.0,0.25,0.03,308
2026-06-01T02:53:30Z,53.74,20.2,1.5,0.76,0.14,334
2026-06-01T02:54:00Z,43.33,10.0,0.77,0.28,0.14,318
2026-06-01T02:54:30Z,50.49,27.1,0.65,0.32,0.11,312
2026-06-01T02:55:00Z,46.67,20.0,1.5,0.51,0.19,320
2026-06-01T02:55:30Z,51.93,14.4,0.65,0.63,0.02,335
2026-06-01T02:56:00Z,47.0,31.8,0.13,0.77,0.3,310
2026-06-01T02:56:30Z,36.32,11.7,0.0,0.71,0.22,301
2026-06-01T02:57:00Z,50.04,37.5,1.3,0.13,0.22,346
2026-06-01T02:57:30Z,39.39,15.7,0.0,0.59,0.21,311
2026-06-01T02:58:00Z,37.96,27.0,0.0,0.13,0.02,329
2026-06-01T02:58:30Z,51.85,26.2,0.0,0.52,0.22,338
2026-06-01T02:59:00Z,53.22,19.9,1.1,0.56,0.29,314
2026-06-01T02:59:30Z,31.6,27.5,0.0,0.72,0.28,329
2026-06-01T03:00:00Z,42.62,24.6,0.0,0.64,0.0,297
2026-06-01T03:00:30Z,43.66,33.1,1.32,0.2,0.13,291
2026-06-01T03:01:00Z,49.24,10.0,0.11,0.1,0.15,331
2026-06-01T03:01:30Z,36.68,20.9,0.0,0.48,0.35,325
2026-06-01T03:02:00Z,38.67,10.0,0.0,0.61,0.51,315
2026-06-01T03:02:30Z,41.16,12.1,0.0,0.17,0.38,310
2026-06-01T03:03:00Z,49.87,14.1,0.93,0.77,0.95,299
2026-06-01T03:03:30Z,60.99,32.9,0.0,0.35,1.22,296
2026-06-01T03:04:00Z,62.19,17.9,1.5,0.54,1.34,306
2026-06-01T03:04:30Z,38.67,48.1,0.0,0.56,1.47,310
2026-06-01T03:05:00Z,51.54,10.0,0.0,0.47,1.03,349
2026-06-01T03:05:30Z,50.52,31.6,0.09,0.19,1.19,324
2026-06-01T03:06:00Z,58.37,26.0,0.61,0.54,1.08,318
2026-06-01T03:06:30Z,49.2,29.5,0.61,0.09,0.98,334
